24-10-19 01:10:15.929 [http-nio-8080-exec-6] INFO  c.d.j.controller.UserController - devpanwar
24-10-19 01:10:24.787 [http-nio-8080-exec-1] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.context.request.async.AsyncRequestNotUsableException: ServletOutputStream failed to write: java.nio.channels.ClosedChannelException]
24-10-19 01:10:52.494 [restartedMain] INFO  c.d.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.2 with PID 28840 (/Users/devsa/Documents/Sprint Boot/Projects/journalApp/target/classes started by devsa in /Users/devsa/Documents/Sprint Boot/Projects/journalApp)
24-10-19 01:10:52.495 [restartedMain] INFO  c.d.journalApp.JournalApplication - The following 1 profile is active: "dev"
24-10-19 01:10:52.519 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
24-10-19 01:10:52.519 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
24-10-19 01:10:52.826 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-10-19 01:10:52.854 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 3 MongoDB repository interfaces.
24-10-19 01:10:53.106 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
24-10-19 01:10:53.112 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
24-10-19 01:10:53.114 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-10-19 01:10:53.114 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
24-10-19 01:10:53.135 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-10-19 01:10:53.135 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 616 ms
24-10-19 01:10:53.328 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.0.1"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='devpanwar', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3cc6a3e7, com.mongodb.Jep395RecordCodecProvider@18e93a9b, com.mongodb.KotlinCodecProvider@7b254325]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.re3e6.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-b2d2sm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
24-10-19 01:10:53.379 [cluster-ClusterId{value='6712b9c552398470efed6f06', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.re3e6.mongodb.net:27017 to client view of cluster
24-10-19 01:10:53.393 [cluster-ClusterId{value='6712b9c552398470efed6f06', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.re3e6.mongodb.net:27017 to client view of cluster
24-10-19 01:10:53.395 [cluster-ClusterId{value='6712b9c552398470efed6f06', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.re3e6.mongodb.net:27017 to client view of cluster
24-10-19 01:10:53.418 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
24-10-19 01:10:53.475 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
24-10-19 01:10:53.953 [cluster-ClusterId{value='6712b9c552398470efed6f06', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=285427333, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-02.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000256, setVersion=132, topologyVersion=TopologyVersion{processId=670ac33d83b3041ad0544d64, counter=9}, lastWriteDate=Sat Oct 19 01:10:53 IST 2024, lastUpdateTimeNanos=98080221921250}
24-10-19 01:10:53.954 [cluster-ClusterId{value='6712b9c552398470efed6f06', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.re3e6.mongodb.net:27017 with max election id 7fffffff0000000000000256 and max set version 132
