25-01-13 17:31:59.228 [restartedMain] INFO  c.d.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.2 with PID 11316 (/Users/devsa/Documents/Sprint Boot/Projects/journalApp/target/classes started by devsa in /Users/devsa/Documents/Sprint Boot/Projects/journalApp)
25-01-13 17:31:59.229 [restartedMain] INFO  c.d.journalApp.JournalApplication - The following 1 profile is active: "dev"
25-01-13 17:31:59.261 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-01-13 17:31:59.262 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-01-13 17:31:59.558 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-01-13 17:31:59.584 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 3 MongoDB repository interfaces.
25-01-13 17:31:59.830 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
25-01-13 17:31:59.834 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-01-13 17:31:59.836 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-01-13 17:31:59.836 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
25-01-13 17:31:59.856 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
25-01-13 17:31:59.856 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 594 ms
